127.0.0.1, 2019-02-07 13:33:45, GET, /gui/default/user/login, HTTP/1.1, 200, 0.025416
127.0.0.1, 2019-02-07 13:33:49, POST, /gui/default/user/login, HTTP/1.1, 303, 0.155674
127.0.0.1, 2019-02-07 13:33:50, GET, /gui/default/index, HTTP/1.1, 200, 0.023682
127.0.0.1, 2019-02-07 13:33:52, GET, /gui/default/attendence, HTTP/1.1, 500, 0.940045
127.0.0.1, 2019-02-07 13:33:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000336
127.0.0.1, 2019-02-07 13:33:54, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.13-33-51.b3b615c5-91e4-4782-990c-27ec2b31c2ac, HTTP/1.1, 200, 0.039225
127.0.0.1, 2019-02-07 13:33:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000398
127.0.0.1, 2019-02-07 13:53:52, GET, /gui/default/attendence, HTTP/1.1, 500, 1.435182
127.0.0.1, 2019-02-07 13:53:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000504
127.0.0.1, 2019-02-07 13:53:54, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.13-53-51.9badfd46-ff2d-4f91-93b3-5cd3229c0519, HTTP/1.1, 200, 0.055315
127.0.0.1, 2019-02-07 13:53:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
127.0.0.1, 2019-02-07 13:54:45, GET, /gui/default/attendence, HTTP/1.1, 500, 2.779292
127.0.0.1, 2019-02-07 13:54:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000246
