127.0.0.1, 2019-04-23 12:24:34, GET, /gui/default/index.html, HTTP/1.1, 200, 1.112278
127.0.0.1, 2019-04-23 12:24:36, GET, /gui/static/images/favicon.ico, HTTP/1.1, 200, 0.004004
127.0.0.1, 2019-04-23 12:24:39, GET, /gui/default/download_percentile, HTTP/1.1, 404, 0.854210
127.0.0.1, 2019-04-23 12:24:44, GET, /gui/default/index.html, HTTP/1.1, 200, 1.018256
127.0.0.1, 2019-04-23 12:24:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.283071
127.0.0.1, 2019-04-23 12:25:01, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.632913
127.0.0.1, 2019-04-23 12:25:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.379093
127.0.0.1, 2019-04-23 12:26:01, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 4.000002
127.0.0.1, 2019-04-23 12:26:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.381095
127.0.0.1, 2019-04-23 12:27:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.080780
127.0.0.1, 2019-04-23 12:27:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.410104
127.0.0.1, 2019-04-23 12:28:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.283836
127.0.0.1, 2019-04-23 12:28:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.290076
127.0.0.1, 2019-04-23 12:29:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.160797
127.0.0.1, 2019-04-23 12:29:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.270068
127.0.0.1, 2019-04-23 12:30:01, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 4.031022
127.0.0.1, 2019-04-23 12:30:02, GET, /gui/default/index.html, HTTP/1.1, 200, 1.816454
127.0.0.1, 2019-04-23 12:30:02, GET, /gui/static/images/favicon.ico, HTTP/1.1, 200, 0.006003
127.0.0.1, 2019-04-23 12:30:07, GET, /gui/default/upload_attendence, HTTP/1.1, 303, 1.555396
127.0.0.1, 2019-04-23 12:30:08, GET, /gui/default/index.html, HTTP/1.1, 200, 1.071272
127.0.0.1, 2019-04-23 12:30:15, GET, /gui/default/percentile, HTTP/1.1, 500, 1.879471
127.0.0.1, 2019-04-23 12:30:17, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.12-30-13.ecaa1a7a-dddb-42c6-ac61-9bdff30c5292, HTTP/1.1, 200, 1.115283
127.0.0.1, 2019-04-23 12:30:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.223055
127.0.0.1, 2019-04-23 12:31:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 2.876726
127.0.0.1, 2019-04-23 12:31:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.390094
127.0.0.1, 2019-04-23 12:32:01, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.996516
127.0.0.1, 2019-04-23 12:32:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.739187
127.0.0.1, 2019-04-23 12:33:01, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 4.181054
127.0.0.1, 2019-04-23 12:33:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.307075
127.0.0.1, 2019-04-23 12:34:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 2.904732
127.0.0.1, 2019-04-23 12:34:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.370092
127.0.0.1, 2019-04-23 12:35:00, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 3.289829
127.0.0.1, 2019-04-23 12:35:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.417104
127.0.0.1, 2019-04-23 12:36:05, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 7.851872
127.0.0.1, 2019-04-23 12:36:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.176044
127.0.0.1, 2019-04-23 12:36:57, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 0.193050
127.0.0.1, 2019-04-23 12:37:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.186044
127.0.0.1, 2019-04-23 12:37:57, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 0.165041
127.0.0.1, 2019-04-23 12:38:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.200050
127.0.0.1, 2019-04-23 12:38:57, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 0.213052
